,Railway word/phrase - English,German (ÖBB),Hungarian (MAV),en2de,en2hu,de2en,de2hu,hu2en,hu2de
0,accident,unfall,baleset,unfall,baleset,accident,baleset,accident,unfall
1,actual delay,momentane verspätung,tényleges késés,tatsächliche verzögerung,tényleges késleltetés,momentary delay,pillanatnyi késés,actual delay,tatsächliche verzögerung
2,ad hoc,ad hoc,azonnali,ad hoc,ad hoc,ad hoc,ad hoc,immediate,augenblick
3,adhesion,haftung,tapadás,adhäsion,tapadás,liability,felelősség,adhesion,haftung
4,agreement on further procedure,zustimmung für weiteren ablauf,megállapodás a további lépésekről,einigung über weiteres vorgehen,megállapodás a további eljárásról,approval for further process,a további folyamatok jóváhagyása,agreement on further steps,einigung über weitere schritte
5,allocation track,gleis-zuordnung,kijelölt vágány,zuweisungsgleis,allokációs pálya,track assignment,pálya hozzárendelés,selected track,ausgewählter titel
6,all trains,alle züge,összes vonat,alle züge,minden vonat,all trains,minden vonat,total trains,züge gesamt
7,alternative route,umleitungsstrecke,kerülő útvonal,alternative route,alternatív útvonal,detour route,elkerülő útvonalat,bypass route,route umgehen
8,applicant,eisenbahnunternehmen,kérelmező,antragsteller,pályázó,railways,vasúti,applicant,antragsteller
9,arrival,ankunft,érkezés,ankunft,érkezés,arrivals,érkezés,arrival,ankunft
10,arrival announcement,ankunfts-ankündigung,értesítés érkezésről,ankündigung der ankunft,érkezés bejelentése,arrival announcement,érkezés bejelentése,arrival notification,ankunftsbenachrichtigung
11,authorisation,"genehmigung, befugnis",engedélyezés,genehmigung,meghatalmazás,"authorization, authority","engedélyezés, hatóság",licensing,zulassung
12,authorisation for a track closure,befugnis für eine gleissperre,vágányzár engedélyezése,genehmigung für eine streckenschließung,a pálya bezárásának engedélyezése,authorization for a track lock,a sávzár engedélyezése,enable track lock,aktivieren sie die track-sperre
13,automatic warning system,automatisches warnsystem,eévb,automatisches warnsystem,automatikus figyelmeztető rendszer,automatic warning system,automatikus figyelmeztető rendszer,eévb,eévb
14,axle counter,achszähler,tengelyszámláló,achszähler,tengely számláló,axle counters,tengelyszámlálókkal,axle counter,achszähler
15,axle load,achslast,tengelyterhelés,achslast,tengelyterhelés,axle load,tengelyterhelés,axle load,achslast
16,axlebox,achslager,tengelycsapágy,achsbox,tengelyágy,achslager,achslager,shaft bearing,wellenlager
17,block,block,térköz,block,blokk,block,tömb,interval,intervall
18,block system,blocksystem,térközbiztosító berendezés,block system,blokkrendszer,block system,blokk-rendszer,interlocking device,verriegelungsvorrichtung
19,block section,blockabschnitt,térközszakasz,blockabschnitt,blokk szakasz,block section,blokkszakaszt,spacing section,abstand abschnitt
20,block signal,blocksignal,térközjelző,signal sperren,blokk jel,block signal,blokk jel,spacing indicator,abstand indicator
21,border station,grenzbahnhof,határállomás,grenzstation,határállomás,border station,határátkelő,frontier station,grenzstation
22,border station affected,betroffener grenzübergang,határállomási érintettség,grenzstation betroffen,az érintett határállomás,affected border crossing,érintett határátkelőhely,boundary involvement,grenzbeteiligung
23,bottleneck,"engpass, engstelle",szűk keresztmetszet,engpass,palacknyak,"bottleneck, bottleneck","szűk keresztmetszet, szűk keresztmetszet",congestion,überlastung
24,branch line,anschlussgleis,mellékvonal,stichleitung,ágvonal,siding,mellékvágány,extension line,verlängerungslinie
25,brake category,bremsreihe,féktípus,bremse kategorie,fék kategória,brake series,fék sorozat,brake,bremse
